,name
8259,Thrumming Stone
8267,Traveler's Amulet
8275,Vedalken Orrery
8283,Azorius Chancery
8291,Boros Garrison
8300,Cavern of Souls
8309,City of Brass
8318,Dimir Aqueduct
8327,Forbidden Orchard
8335,Golgari Rot Farm
8344,Gruul Turf
8354,Izzet Boilerworks
8363,Orzhov Basilica
8373,Pillar of the Paruns
8383,Rakdos Carnarium
8392,Selesnya Sanctuary
8400,Simic Growth Chamber
8410,Cryptic Spires
9798,Karn Liberated
9807,Alabaster Mage
9815,Ancestral Blade
9823,Angel of the Dawn
9831,Archangel of Thune
9841,Auriok Salvagers
9849,Austere Command
9859,"Avacyn, Angel of Hope"
9868,Blade Splicer
9877,Boon Reflection
9886,Council's Judgment
9896,Crib Swap
9905,Crusader of Odric
9913,Ethersworn Canonist
9921,Fencing Ace
9937,Fortify
9945,Glint-Sleeve Artisan
9953,"Kemba, Kha Regent"
9961,Land Tax
9969,Leonin Abunas
9977,Master Splicer
9985,Myrsmith
9993,Open the Vaults
10013,Puresteel Paladin
10022,Remember the Fallen
10030,Revoke Existence
10038,Sanctum Gargoyle
10046,Sanctum Spirit
10054,Stoneforge Mystic
10063,Stonehewer Giant
10071,Strength of Arms
10079,Tempered Steel
10087,Thraben Inspector
10095,Topple the Statue
10103,Valor in Akros
10111,Valorous Stance
10129,Apprentice Wizard
10137,Arcum Dagsson
10147,Argivian Restoration
10155,"Braids, Conjurer Adept"
10163,Brainstorm
10171,Cloudreader Sphinx
10179,Corridor Monitor
10187,Cyclonic Rift
10195,Deepglow Skate
10205,Esperzoa
10213,Faerie Mechanist
10221,Force of Will
10231,Frogify
10239,Grand Architect
10247,Hinder
10256,Inkwell Leviathan
10266,"Jace, the Mind Sculptor"
10276,Master of Etherium
10285,Master Transmuter
10295,Metallic Rebuke
10303,Parasitic Strix
10311,Phyrexian Metamorph
10319,Pongify
10329,Relic Runner
10337,Reshape
10347,Riddlesmith
10355,Rush of Knowledge
10363,Sentinel of the Pearl Trident
10371,Serra Sphinx
10387,Steel Sabotage
10395,Thirst for Knowledge
10403,Thought Reflection
10412,Treasure Mage
10420,Vedalken Infuser
10428,Well of Ideas
10436,Ad Nauseam
10455,Bone Picker
10463,Cast Down
10472,Costly Plunder
10481,Dark Confidant
10491,Death's Shadow
10500,Defiant Salvager
10508,Dire Fleet Hoarder
10516,Disciple of Bolas
10525,Disciple of the Vault
10533,Divest
10550,Dread Return
10559,Driver of the Dead
10567,Drown in Sorrow
10575,Executioner's Capsule
10583,Fatal Push
10593,"Geth, Lord of the Vault"
10603,Glaze Fiend
10611,Heartless Pillage
10619,Magus of the Abyss
10628,Magus of the Will
10637,Morkrut Banshee
10645,Oubliette
10654,Ovalchase Daredevil
10661,Painsmith
10669,Ravenous Trap
10678,Salvage Titan
10687,Silumgar Scavenger
10695,Skirsdag High Priest
10704,"Skithiryx, the Blight Dragon"
10720,Thoughtseize
10729,Toxic Deluge
10738,Twisted Abomination
10746,Vampire Hexmage
